S.No,HEA combinations,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,Si,SC,C,Density_calc,dHmix,dSmix,dGmix,Tm,n.Para,Atom.Size.Diff,Elect.Diff,VEC,Phases,
81,AlCrFeNiMo0.5,22,0,22,22,22,0,0,0,0,0,11,0,0,0,0,0,0,0,6.781541404,-11.85185185,13.14594406,382.6472339,1472.592315,1.936358225,6.112177396,0.172225806,6.666666667,BCC,
82,AlCrFeNiMo0.8,21,0,21,21,21,0,0,0,0,0,17,0,0,0,0,0,0,0,7.033549078,-11.14583333,13.35141737,401.0213207,1544.520145,2.177358302,6.015400008,0.188402919,6.625,MIP,
83,AlCrMoNbTi,20,0,20,0,0,0,0,20,0,20,20,0,0,0,0,0,0,0,6.57,-13.6,13.38,555.5965658,2140.09,2.11,4.87,0.23,4.8,FCC,
84,AlCrNbTiV,20,0,20,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,5.765972232,-14.56,13.38161053,432.9526956,1667.706423,1.783776424,5.90234915,0.039698866,4.6,MIP,
85,AlHfNbTaTiZr,17,0,0,0,0,0,0,17,0,17,0,17,17,17,0,0,0,0,8.87658935,-14.77777778,14.8975162,531.9761786,2061.161708,2.353225702,4.902772537,0.122610494,4.166666667,BCC,
86,AlHfNbTiZr,20,0,0,0,0,0,0,20,0,20,0,20,20,0,0,0,0,0,7.439877924,-19.36,13.38161053,473.9272514,1825.551003,1.450619806,4.968270135,0.133955216,4,MIP,
87,AlMo0.5NbTa0.5TiZr,25,0,0,0,0,0,0,25,0,0,13,25,0,13,0,0,0,0,7.15,-16.84,14.53,560.6278523,2169.09,1.87,4.34,0.22,4.3,MIP,
88,AlMo0.5NbTa0.5TiZr0.5,7.67,0,0,0,0,0,0,13.6,0,26.4,13.6,13,0,25.7,0,0,0,0,6.767124234,-14.49487683,13.67480936,515.4022946,1933.369037,2.087219492,5.103543372,0.164543472,4.479376401,MIP,
89,AlMoNbTaTiV,16.67,0,0,0,0,0,0,16.7,16.7,16.7,16.7,0,0,16.7,0,0,0,0,6.764913859,-14.53735905,13.6212157,526.8735843,1968.238593,2.107595382,5.051903185,0.168312617,4.324399422,BCC,
90,AlMoNbTiV,20,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,6.407773123,-11.04,13.38161053,477.7526215,1840.253545,2.561661515,3.796497761,0.227982455,4.6,BCC,
91,AlNb1.5Ta0.5Ti1.5Zr0.5,20,0,0,0,0,0,0,30,0,30,0,10,0,10,0,0,0,0,6.85,-15.12,12.51,556.3368171,2135.79,1.77,3.07,0.08,4.2,BCC,
92,AlNbTa0.5TiZr0.5,8.88,0,0,0,0,0,0,15.8,0,30.6,0,15,0,29.8,0,0,0,0,7.1128385,-14.85493518,13.22539687,560.9961831,2131.913022,2.059834325,4.069386734,0.182187698,3.891465434,MIP,
93,AlNbTaTiV,20,0,0,0,0,0,0,20,20,20,0,0,0,20,0,0,0,0,7.89,-13.44,13.38,576.2105538,2219.49,2.21,3.16,0.05,4.4,BCC,
94,AlNbTiMoV,20,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,7.181425258,-14.75534362,13.13338754,584.3777676,2229.15293,2.128796862,3.647009039,0.162931767,3.717346177,BCC,
95,AlNbTiVZr,20,0,0,0,0,0,0,20,20,20,0,20,0,0,0,0,0,0,5.76,-17.44,13.38,515.8708658,1987.09,1.52,5.53,0.11,4.2,BCC,
96,AlNbTiVZr0.1,24,0,0,0,0,0,0,24,24,24,0,2,0,0,0,0,0,0,5.76,-17.44,13.38,515.8708658,1987.09,1.52,5.53,0.11,4.2,MIP,
97,AlNbTiVZr0.25,24,0,0,0,0,0,0,24,24,24,0,6,0,0,0,0,0,0,5.540863957,-16.75193337,12.198543,426.6962822,1636.160469,1.390335392,4.420373774,0.052617394,4.243902439,MIP,
98,AlNbTiVZr0.5,22,0,0,0,0,0,0,22,22,22,0,11,0,0,0,0,0,0,5.65713141,-18.17283951,13.14594406,432.0973738,1662.916305,1.400519679,5.607337231,0.089083121,4.222222222,MIP,
99,AlNbTiVZr1.5,18,0,0,0,0,0,0,18,18,18,0,27,0,0,0,0,0,0,5.853909651,-19.30578512,13.2546386,443.5350562,1707.650753,1.359944594,6.72027796,0.121437669,4.181818182,MIP,
100,AlTiZrNbHf  ,20,0,0,0,0,0,0,20,0,20,0,20,20,0,0,0,0,0,6.402262084,-17.84396198,12.98377231,501.3710566,1971.418548,1.553389625,4.79234012,0.092035047,3.64234876,MIP,
101,Co25Ni25Fe25Al7.5Cu17.5,7.5,25,0,25,25,17.5,0,0,0,0,0,0,0,0,0,0,0,0,7.994666565,0.8225,12.79604395,346.9451589,1333.355348,24.99320734,3.874411655,0.07690538,8.9,FCC,
102,CoCrCuFeNiTi,0,20,20,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,7.43,-8.44,14.9,463.959863,1797.63,3.17,5.65,0.14,8,MIP,
103,CoCrCuFeNiTi0.8,0,21,21,21,21,0,0,17,0,0,0,0,0,0,0,0,0,0,7.58,-6.75,14.87,462.7377384,1792.68,3.95,5.27,0.13,8.14,MIP,
104,CoCrFeMnNiV0.25,0,19,19,19,19,0,19,0,5,0,0,0,0,0,0,0,0,0,7.917904415,-5.297052154,14.33614554,388.7188688,1502.815949,4.806542503,3.287511245,0.138098522,7.857142857,FCC,
105,CoCrFeMnNiV0.5,0,18,18,18,18,0,18,0,9,0,0,0,0,0,0,0,0,0,7.821545363,-6.214876033,14.69798576,391.5136231,1515.744425,4.230678882,3.295001536,0.137594445,7.727272727,FCC,
106,CoCrFeMnNiV0.75,0,17,17,17,17,0,17,0,13,0,0,0,0,0,0,0,0,0,7.734938183,-6.956521739,14.85564568,394.3956448,1527.837408,3.84600693,3.294550407,0.136911656,7.608695652,MIP,
107,CoCrFeMnNiV1.0,0,17,17,17,17,0,17,0,17,0,0,0,0,0,0,0,0,0,7.656673792,-7.555555556,14.8975162,397.2569101,1539.173354,3.573412481,3.288078437,0.136096371,7.5,MIP,
108,CoCrFeNb0.155Ni,0,24,24,24,24,0,0,0,0,4,0,0,0,0,0,0,0,0,8.20778646,-6.276635953,12.42064438,416.6059575,1598.792173,3.70432955,2.770916035,0.103631001,8.128760529,MIP,
109,CoCrFeNb0.206Ni,0,24,24,24,24,0,0,0,0,5,0,0,0,0,0,0,0,0,8.214511789,-7.024812729,12.58718805,419.1988601,1609.774426,3.373858458,3.146080126,0.105576867,8.090822634,MIP,
110,CoCrFeNb0.309Ni,0,23,23,23,23,0,0,0,0,7,0,0,0,0,0,0,0,0,8.22699924,-8.38502061,12.83886672,424.1901117,1630.522174,2.914839982,3.728360702,0.108998224,8.019043196,MIP,
111,CoCrFeNb0.412Ni,0,23,23,23,23,0,0,0,0,9,0,0,0,0,0,0,0,0,8.239312478,-9.685938539,13.02986481,429.3171884,1651.446902,2.589035368,4.205658448,0.112136079,7.946509519,MIP,
112,CoCrFeNb0.MIPNi,0,24,24,24,24,0,0,0,0,3,0,0,0,0,0,0,0,0,8.181445245,-5.897237709,13.72273014,377.8807537,1470.259301,5.003567147,3.704669462,0.10608249,8.671775834,MIP,
